CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction_Score,Card_Type,Point_Earned,County
15634602,619.0,France,Female,42,2,0.0,1,True,True,101348.88,True,True,2,DIAMOND,464.0,Paris
15647311,608.0,Spain,Female,41,1,83807.86,1,False,True,112542.58,False,True,3,DIAMOND,456.0,Madrid
15619304,502.0,France,Female,42,8,159660.8,3,True,False,113931.57,True,True,3,DIAMOND,377.0,Marseille
15701354,699.0,France,Female,39,1,0.0,2,False,False,93826.63,False,False,5,GOLD,350.0,Lyon
15737888,850.0,Spain,Female,43,2,125510.82,1,True,True,79084.1,False,False,5,GOLD,425.0,Barcelona
15574012,645.0,Spain,Male,44,8,113755.78,2,True,False,149756.71,True,True,5,DIAMOND,484.0,Barcelona
15592531,822.0,France,Male,50,7,0.0,2,True,True,10062.8,False,False,2,SILVER,206.0,Paris
15656148,376.0,Germany,Female,29,4,115046.74,4,True,False,119346.88,True,True,2,DIAMOND,282.0,Frankfurt
15792365,501.0,France,Male,44,4,142051.07,2,False,True,74940.5,False,False,3,GOLD,251.0,Paris
15592389,684.0,France,Male,27,2,134603.88,1,True,True,71725.73,False,False,3,GOLD,342.0,Nice
15767821,528.0,France,Male,31,6,102016.72,2,False,False,80181.12,False,False,3,GOLD,264.0,Toulouse
15737173,497.0,Spain,Male,24,3,0.0,2,True,False,76390.01,False,False,3,GOLD,249.0,Madrid
15632264,476.0,France,Female,34,10,0.0,2,True,False,26260.98,False,False,3,SILVER,119.0,Paris
15691483,549.0,France,Female,25,5,0.0,2,False,False,190857.79,False,False,3,PLATINUM,549.0,Paris
15600882,635.0,Spain,Female,35,7,0.0,2,True,True,65951.65,False,False,2,GOLD,318.0,Barcelona
15643966,616.0,Germany,Male,45,3,143129.41,2,False,True,64327.26,False,False,5,GOLD,308.0,Hamburg
15737452,653.0,Germany,Male,58,1,132602.88,1,True,False,5097.67,True,False,2,SILVER,163.0,Frankfurt
15788218,549.0,Spain,Female,24,9,0.0,2,True,True,14406.41,False,False,3,SILVER,544.0,Bilbao
15661507,587.0,Spain,Male,45,6,0.0,1,False,False,158684.81,False,False,3,PLATINUM,732.0,Madrid
15568982,726.0,France,Female,24,6,0.0,2,True,True,54724.03,False,False,4,GOLD,477.0,Nice
