CustomerId,Geography,County
15634602,France,Paris
15647311,Spain,Madrid
15619304,France,Marseille
15701354,France,Lyon
15737888,Spain,Barcelona
15574012,Spain,Barcelona
15592531,France,Paris
15656148,Germany,Frankfurt
15792365,France,Paris
15592389,France,Nice
15767821,France,Toulouse
15737173,Spain,Madrid
15632264,France,Paris
15691483,France,Paris
15600882,Spain,Barcelona
15643966,Germany,Hamburg
15737452,Germany,Frankfurt
15788218,Spain,Bilbao
15661507,Spain,Madrid
15568982,France,Nice
15577657,France,Lyon
15597945,Spain,Bilbao
15699309,Spain,Seville
15725737,France,Lyon
15625047,France,Toulouse
15738191,France,Nice
15736816,Germany,Munich
15700772,France,Paris
15728693,Germany,Hamburg
15656300,France,Toulouse
15589475,Spain,Valencia
15706552,France,Marseille
15750181,Germany,Hamburg
15659428,Spain,Barcelona
15732963,Spain,Valencia
15794171,France,Paris
15788448,Spain,Madrid
15729599,Spain,Seville
15717426,France,Paris
15585768,Germany,Munich
15619360,Spain,Valencia
15738148,France,Nice
15687946,France,Marseille
15755196,France,Paris
15684171,Spain,Seville
15754849,Germany,Frankfurt
15602280,Germany,Berlin
15771573,Germany,Cologne
15766205,Germany,Berlin
15771873,Germany,Frankfurt
15616550,Germany,Munich
15768193,Germany,Frankfurt
15683553,France,Marseille
15702298,Germany,Frankfurt
15569590,Germany,Hamburg
15760861,France,Paris
15630053,France,Paris
15647091,Germany,Hamburg
15623944,Spain,Valencia
15804771,France,Paris
15651280,Germany,Hamburg
15773469,Germany,Berlin
15702014,Spain,Seville
15751208,Spain,Valencia
15592461,Germany,Cologne
15789484,Germany,Munich
15696061,Germany,Hamburg
15641582,Germany,Munich
15638424,Germany,Munich
15755648,France,Lyon
15703793,Germany,Munich
15620344,France,Paris
15812518,Spain,Bilbao
15779052,Germany,Hamburg
15770811,France,Nice
15780961,France,Lyon
15614049,France,Lyon
15662085,France,Toulouse
15575185,Spain,Seville
15803136,Germany,Munich
15706021,France,Nice
15663706,France,Lyon
15641732,France,Marseille
15701164,France,Paris
