CustomerId,Geography,County
18769397,Belgium,Liège
18659339,Belgium,Brussels
18612046,Belgium,Brussels
18630130,Belgium,Liège
18724771,Belgium,Ghent
18675598,Belgium,Antwerp
18589169,Belgium,Antwerp
18641013,Belgium,Antwerp
18603885,Belgium,Liège
18813140,Belgium,Brussels
18729298,Belgium,Liège
18809960,Belgium,Liège
18676302,Belgium,Leuven
18793167,Belgium,Brussels
18683679,Belgium,Leuven
18690137,Belgium,Bruges
18711970,Belgium,Brussels
18655766,Belgium,Brussels
18734447,Belgium,Brussels
18782364,Belgium,Antwerp
18654087,Belgium,Antwerp
18608000,Belgium,Leuven
18689085,Belgium,Leuven
18816997,Belgium,Brussels
18511901,Belgium,Leuven
18673214,Belgium,Antwerp
18623134,Belgium,Liège
18730196,Belgium,Liège
18668322,Belgium,Liège
18560049,Belgium,Leuven
18734313,Belgium,Bruges
18602183,Belgium,Antwerp
18727858,Belgium,Bruges
18666184,Belgium,Leuven
18794148,Belgium,Ghent
18612091,Belgium,Brussels
18797769,Belgium,Antwerp
18725296,Belgium,Liège
18715002,Belgium,Bruges
18712206,Belgium,Ghent
18791055,Belgium,Ghent
18561356,Belgium,Antwerp
18754034,Belgium,Antwerp
18702895,Belgium,Ghent
18661664,Belgium,Brussels
18721925,Belgium,Brussels
18793267,Belgium,Bruges
18648357,Belgium,Brussels
18757244,Belgium,Ghent
18690392,Belgium,Ghent
18704403,Belgium,Leuven
18627924,Belgium,Ghent
18691138,Belgium,Brussels
18672607,Belgium,Liège
18636016,Belgium,Bruges
18517794,Belgium,Leuven
18779759,Belgium,Brussels
18741493,Belgium,Bruges
18778570,Belgium,Brussels
18579507,Belgium,Leuven
18780735,Belgium,Ghent
18555603,Belgium,Liège
18718881,Belgium,Leuven
18683191,Belgium,Ghent
18787631,Belgium,Leuven
18567839,Belgium,Antwerp
18612001,Belgium,Liège
18588176,Belgium,Brussels
18570087,Belgium,Brussels
18657162,Belgium,Liège
18875070,Belgium,Antwerp
18736231,Belgium,Ghent
18819514,Belgium,Brussels
18645185,Belgium,Antwerp
18802039,Belgium,Brussels
18601578,Belgium,Bruges
18667997,Belgium,Ghent
18711236,Belgium,Bruges
18767966,Belgium,Liège
18782144,Belgium,Ghent
18792535,Belgium,Antwerp
18818065,Belgium,Ghent
18626815,Belgium,Ghent
18586037,Belgium,Antwerp
18555597,Belgium,Liège
18751189,Belgium,Ghent
18759842,Belgium,Liège
18788959,Belgium,Liège
18616293,Belgium,Liège
18769724,Belgium,Brussels
18578152,Belgium,Leuven
18611205,Belgium,Liège
18671128,Belgium,Antwerp
18745526,Belgium,Leuven
18725470,Belgium,Liège
18683585,Belgium,Antwerp
18716673,Belgium,Antwerp
18700522,Belgium,Bruges
18846070,Belgium,Bruges
18695385,Belgium,Ghent
18766654,Belgium,Liège
18733520,Belgium,Liège
18629568,Belgium,Leuven
18799802,Belgium,Antwerp
18607927,Belgium,Liège
18646953,Belgium,Ghent
18811103,Belgium,Brussels
18611151,Belgium,Antwerp
18761250,Belgium,Brussels
18574712,Belgium,Ghent
